	D21BC	D21PT	D21R6	D21R7
AL645728.1	1	4	1	2
AL691432.3	0	0	0	0
FNDC10	10	18	38	28
AL691432.2	16	18	22	15
MIB2	683	774	748	738
MMP23B	9	18	9	3
CDK11B	91	61	98	82
FO704657.1	6	11	18	11
SLC35E2B	207	283	410	339
AL691432.1	6	8	12	11
MMP23A	0	0	0	1
CDK11A	7	10	11	11
AL031282.2	29	28	28	17
AL031282.1	23	41	46	28
SLC35E2	74	73	120	82
NADK	204	239	410	316
GNB1	1027	1355	1434	1140
AL109917.1	3	4	3	4
CALML6	0	4	4	3
TMEM52	3	0	0	1
CFAP74	0	2	0	0
AL391845.2	0	0	0	0
GABRD	0	0	0	0
AL391845.1	0	0	0	0
PRKCZ	43	43	36	29
AL590822.2	0	4	1	1
PRKCZ-AS1	1	1	3	2
FAAP20	79	109	167	141
AL590822.1	2	1	1	2
SKI	349	737	598	462
MORN1	46	80	74	77
AL589739.1	0	0	0	0
AL513477.1	4	7	3	12
AL513477.2	0	0	2	0
RER1	1046	951	1213	1040
PEX10	251	248	351	283
PLCH2	0	1	4	7
AL139246.1	0	0	0	0
AL139246.4	0	0	0	0
PANK4	119	112	144	145
HES5	0	0	0	0
AL139246.5	0	2	1	0
TNFRSF14-AS1	12	25	43	70
TNFRSF14	56	48	166	266
AL139246.2	0	0	1	2
AL139246.3	1	1	0	1
FAM213B	46	43	69	58
MMEL1	4	10	8	11
AL831784.1	0	1	0	0
TTC34	1	12	5	4
AC242022.1	0	0	0	0
AL592464.2	0	0	0	0
AL592464.1	0	0	0	0
AL589702.1	0	0	0	0
ACTRT2	0	0	0	0
LINC00982	3	2	2	3
PRDM16	13	15	28	29
MIR4251	0	0	0	0
AL008733.1	0	0	2	0
AL512383.1	0	0	2	0
AL590438.1	1	2	3	1
ARHGEF16	0	0	0	0
AL512413.1	0	0	0	0
MEGF6	22	24	70	80
MIR551A	0	0	0	0
AL513320.1	0	0	2	2
TPRG1L	147	159	171	174
WRAP73	62	51	69	83
TP73	4	9	7	7
AL136528.1	0	1	1	0
AL136528.2	0	0	0	0
TP73-AS1	172	198	288	272
RF02197	1	4	6	5
CCDC27	10	13	21	21
SMIM1	2	1	2	2
LRRC47	342	308	428	339
RN7SL574P	0	1	1	0
AL365330.1	27	34	53	41
CEP104	139	149	242	169
DFFB	36	35	35	31
C1orf174	92	100	171	142
LINC01134	4	12	2	1
LINC01346	0	0	0	0
LINC01345	0	0	0	0
AL805961.1	0	0	0	0
AL805961.2	0	0	0	0
EEF1DP6	0	0	0	0
LINC01777	0	0	0	0
AL355602.1	0	0	0	0
Z98747.1	0	0	0	0
LINC01646	0	0	0	0
AJAP1	0	1	3	0
BX005132.2	0	0	0	0
BX005132.1	0	0	0	0
AL691497.1	0	0	0	0
AL139823.1	0	0	0	0
Z98259.3	0	0	0	0
Z98259.2	0	0	0	0
Z98259.1	0	0	0	0
Z97988.1	0	0	0	0
AL365255.1	0	0	0	0
MIR4417	0	0	0	0
MIR4689	1	0	0	0
NPHP4	85	132	131	113
KCNAB2	54	39	80	62
CHD5	5	0	0	0
RPL22	1401	1247	1021	891
AL031847.1	6	5	7	2
RNF207	102	101	78	48
ICMT	473	429	737	573
LINC00337	0	0	0	0
HES3	0	0	0	1
GPR153	783	898	560	388
ACOT7	93	88	223	228
AL031848.2	3	3	3	6
HES2	5	11	8	4
ESPN	19	26	18	16
MIR4252	0	0	0	0
AL031848.1	0	0	0	0
TNFRSF25	115	124	128	129
PLEKHG5	558	597	694	701
NOL9	145	172	241	173
RNU6-731P	0	0	0	0
AL591866.1	1	3	1	2
TAS1R1	0	2	2	6
ZBTB48	129	90	122	134
KLHL21	1177	1284	1456	1189
PHF13	97	112	134	85
THAP3	156	168	232	220
DNAJC11	214	225	366	300
LINC01672	0	0	0	0
AL591163.1	0	0	0	0
CAMTA1-DT	0	1	0	0
CAMTA1	71	75	94	71
AL590128.1	0	0	0	2
AL512330.1	0	0	0	0
RNU1-8P	0	0	0	0
CAMTA1-IT1	0	0	0	0
Z97987.1	0	0	0	0
AL365194.1	0	0	0	0
AL359881.3	0	0	0	0
AL359881.2	0	0	0	0
AL359881.1	0	0	0	0
VAMP3	337	383	571	470
Z98884.2	0	2	1	1
PER3	15	21	40	54
Z98884.1	4	2	10	6
UTS2	0	4	2	6
TNFRSF9	10	11	1	0
AL009183.1	0	0	0	0
PARK7	898	763	1113	928
RF00019	70	110	115	87
AL034417.4	0	2	3	4
AL034417.3	0	0	0	0
ERRFI1	431	437	380	285
AL034417.2	5	2	3	0
AL034417.1	0	0	1	0
AL358876.1	0	0	0	0
LINC01714	0	0	0	0
RNU1-7P	0	0	0	0
AL358876.2	0	0	0	0
RNU6-991P	0	0	0	0
SLC45A1	2	3	21	19
RERE	123	192	173	197
AL096855.1	1	0	2	1
RF00599	1	0	0	0
AL096855.2	0	1	0	0
RPL7P11	0	1	2	2
RPL7P7	1	1	2	1
AL357552.1	0	1	1	0
AL357552.2	1	2	8	3
RPL23AP19	0	0	0	0
ENO1	11385	11463	12560	8920
MIR6728	0	1	0	1
ENO1-AS1	2	6	5	1
RNU6-304P	0	0	0	0
HMGN2P17	0	0	0	0
AL139415.1	0	0	0	0
AL139415.2	0	0	0	0
CA6	0	0	0	0
RN7SL451P	0	0	0	0
SLC2A7	0	0	0	0
SLC2A5	17	23	46	40
RF00424	0	1	0	1
GPR157	81	76	87	39
MIR34AHG	144	159	246	222
MIR34A	0	0	0	0
LINC01759	20	14	32	19
H6PD	543	669	798	931
SPSB1	218	200	191	120
BX323043.1	2	1	0	1
AL928921.2	10	12	7	7
RNA5SP40	0	0	1	0
AL928921.1	0	0	0	0
SLC25A33	58	30	46	29
AL954705.1	0	0	0	0
TMEM201	40	51	78	74
PIK3CD	54	70	99	156
PIK3CD-AS1	0	0	0	0
AL691449.1	0	0	0	0
PIK3CD-AS2	1	2	5	5
CLSTN1	537	807	1232	1217
MZT1P1	0	1	0	0
AL357140.3	0	0	0	0
CTNNBIP1	78	69	95	81
AL357140.1	11	13	13	21
LZIC	103	96	113	99
AL357140.2	4	2	0	4
NMNAT1	112	94	123	97
RN7SKP269	1	1	3	0
AL357140.4	1	1	0	1
MIR5697	0	0	0	0
AL603962.1	0	0	0	0
RBP7	0	0	0	0
UBE4B	247	276	238	169
AL590639.1	0	1	0	0
PGAM1P11	0	2	1	0
RNU6-828P	0	0	0	0
KIF1B	256	373	508	387
MIR1273D	0	0	0	0
RNU6-37P	0	0	0	0
RN7SL731P	0	0	0	0
AL139424.3	1	2	3	1
AL139424.2	4	2	0	0
PGD	425	384	912	769
AL139424.1	0	0	0	0
CENPS-CORT	0	0	0	0
CENPS	0	1	3	0
CORT	0	2	1	5
DFFA	386	353	481	424
AL354956.1	19	16	25	15
PEX14	106	121	181	181
RN7SL614P	0	0	0	0
CASZ1	3	0	0	0
AL139423.1	1	1	0	0
HSPE1P24	0	0	0	0
C1orf127	0	1	0	0
CFL1P6	0	0	0	0
TARDBP	91	64	112	80
AL109811.4	0	0	0	0
MASP2	8	16	15	18
AL109811.3	1	1	5	2
SRM	115	154	130	105
EXOSC10	273	319	521	483
AL109811.1	38	38	56	52
AL109811.2	16	17	33	29
MTOR	418	436	663	499
MTOR-AS1	4	10	8	10
RNU6-537P	0	1	0	0
ANGPTL7	6523	3504	769	213
RNU6-291P	0	0	0	0
RPL39P6	0	0	0	0
UBIAD1	66	61	79	66
UBE2V2P3	0	0	0	1
AL031291.1	0	0	0	0
MTCYBP45	0	0	0	0
DISP3	1	0	2	0
LINC01647	0	0	0	0
AL031731.1	3	1	0	0
FBXO2	58	81	85	68
FBXO44	112	100	120	124
FBXO6	34	40	101	114
MAD2L2	134	160	180	146
DRAXIN	54	45	61	47
AGTRAP	231	229	405	372
C1orf167	17	26	48	39
AL953897.1	0	0	0	0
MTHFR	86	123	250	217
CLCN6	58	84	146	126
NPPA-AS1	0	0	1	0
RF02156	0	0	0	0
RF02157	0	0	0	0
NPPA	0	1	1	1
RF02158	0	0	0	0
NPPB	0	0	0	0
AL021155.1	0	0	1	0
RNU5E-1	2	4	7	1
RNU5E-4P	0	0	0	0
KIAA2013	732	679	978	785
PLOD1	3448	3747	4056	4293
MFN2	618	577	1072	849
AL096840.1	0	0	0	0
MIIP	87	83	154	147
MIR6729	0	0	0	0
RN7SL649P	0	0	0	0
TNFRSF8	1	2	1	7
RNU6-777P	0	0	0	0
RPL23AP89	0	0	0	0
MIR7846	0	0	0	0
TNFRSF1B	22	29	77	89
MIR4632	0	0	0	1
RPL10P17	0	0	0	0
RF00156	0	1	1	1
VPS13D	449	624	779	670
SNORA59A	1	2	1	2
AC243836.1	0	0	0	0
DHRS3	296	365	334	387
RNU6ATAC18P	0	0	0	0
MIR6730	0	1	0	0
AC254633.1	5	4	5	6
AADACL4	0	0	0	0
AC244670.1	0	0	0	0
AADACL3	0	0	1	0
C1orf158	0	0	1	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
PRAMEF30P	0	0	0	0
HNRNPCL1	0	1	1	0
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
RNU6-1072P	0	0	0	0
PRAMEF29P	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF28P	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	0	0	0
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
PRAMEF35P	0	0	0	0
HNRNPCL2	0	0	0	0
PRAMEF36P	0	0	0	0
AC245056.1	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF31P	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF32P	0	0	0	0
RNU6-771P	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
AC243961.1	0	0	0	0
PRAMEF14	0	1	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	1	0	0
AL354712.1	0	0	0	0
BRWD1P1	0	0	0	0
PDPN	57	76	173	88
RNA5SP41	0	0	0	0
AL359771.1	0	0	0	0
RF00564	0	0	0	0
PRDM2	87	144	157	144
KAZN	49	94	161	147
RNU6-1265P	1	0	0	0
AL357873.1	2	4	3	5
KAZN-AS1	5	14	22	16
TBCAP2	1	1	2	1
TMEM51-AS1	5	6	28	20
TMEM51	7	4	2	3
C1orf195	1	0	0	0
AL035405.1	0	0	0	0
AL391094.1	0	0	0	0
FHAD1	24	28	59	20
AL031283.2	2	5	12	2
AL031283.3	1	1	2	1
AL031283.1	2	0	0	0
EFHD2	148	136	189	149
CTRC	1	0	0	0
CELA2A	0	0	0	0
CELA2B	0	1	1	1
CASP9	29	25	61	41
DNAJC16	93	153	190	138
SCARNA21B	0	0	2	0
AL121992.3	10	10	13	9
AGMAT	9	12	17	3
AL121992.1	0	0	2	2
CHCHD2P6	3	2	0	2
RNU7-179P	0	0	0	0
CD24P1	0	0	0	0
DDI2	159	178	230	222
RSC1A1	0	0	0	0
AL121992.2	0	0	2	0
PLEKHM2	389	375	663	532
AL450998.3	47	53	74	79
SLC25A34	6	7	6	12
SLC25A34-AS1	2	1	1	1
TMEM82	0	0	0	0
FBLIM1	105	124	285	312
RPL12P14	1	2	0	0
UQCRHL	61	40	45	41
AL450998.1	0	1	2	1
AL450998.2	15	11	18	19
SPEN	151	335	315	274
AL034555.1	0	1	2	0
ZBTB17	182	165	274	239
AL355994.4	0	1	1	1
AL355994.1	0	0	0	0
AL355994.5	0	0	0	0
TBC1D3P6	0	0	0	0
SRARP	0	0	0	0
AL355994.3	0	0	0	0
HSPB7	29	71	61	88
CLCNKA	0	0	0	2
AL355994.2	1	0	4	1
CLCNKB	2	1	2	3
FAM131C	2	2	9	3
EPHA2	244	294	696	405
AL451042.2	0	3	7	2
AL451042.1	0	0	0	0
ARHGEF19-AS1	116	110	199	155
ARHGEF19	1278	1356	2379	2201
ANO7L1	20	22	89	147
RSG1	53	53	91	105
MT1XP1	2	2	2	4
FBXO42	207	287	620	560
SZRD1	379	468	810	709
RPL22P3	0	0	3	3
SPATA21	87	117	247	184
NECAP2	323	299	422	388
LINC01772	15	18	22	14
CROCCP3	16	36	42	68
RNU1-1	0	2	1	0
AL137802.2	0	1	0	0
AL137802.1	0	0	0	0
LINC01783	5	1	4	5
RNU1-6P	0	0	0	0
AL355149.1	0	0	0	0
NBPF1	78	94	140	120
AL137798.1	0	0	0	0
CROCCP2	92	99	150	140
AL137798.3	0	0	0	0
MST1P2	32	29	19	30
AL137798.2	0	0	0	0
RNU1-3	0	0	0	0
AL021920.2	2	3	0	0
EIF1AXP1	4	2	0	0
ESPNP	18	31	7	3
AL021920.1	0	2	0	0
AL021920.3	0	0	0	0
CROCC	189	203	292	297
CROCCP4	0	0	0	2
RNU1-4	0	0	0	0
MST1L	8	7	14	11
BX284668.1	0	0	0	0
BX284668.3	1	2	1	1
MIR3675	0	0	0	0
BX284668.2	1	3	4	5
RNU1-5P	0	0	0	0
BX284668.5	10	17	12	15
BX284668.4	7	4	13	12
RNU1-2	0	1	0	0
BX284668.6	2	3	0	1
MFAP2	504	496	477	532
AL049569.1	19	20	12	21
ATP13A2	110	147	178	135
SDHB	288	240	490	388
PADI2	0	1	1	0
AL590644.1	0	0	0	1
AL590644.3	0	0	0	0
PADI1	0	2	0	0
PADI3	0	0	0	0
MIR3972	0	0	0	0
PADI4	0	0	0	0
PADI6	0	0	0	0
AC004824.1	135	134	207	136
RCC2	877	733	1346	881
ARHGEF10L	123	131	290	330
AL136529.1	0	0	0	0
ACTL8	0	0	0	0
AL357509.1	0	0	0	0
LINC01654	0	0	0	0
IGSF21	2	0	0	0
AL365209.1	0	0	0	0
IGSF21-AS1	0	0	0	0
AL591896.1	0	0	0	0
KLHDC7A	0	2	0	0
DYNLL1P3	0	0	0	0
AL031737.1	0	0	0	0
PAX7	0	0	0	0
TAS1R2	0	0	0	0
AL080251.1	0	0	0	0
ALDH4A1	29	25	86	133
MIR4695	0	0	0	0
MIR1290	0	0	0	0
IFFO2	335	337	309	152
AL137127.1	5	3	7	7
UBR4	1546	2568	1896	1645
AL035413.1	66	51	73	55
EMC1	790	857	1157	982
MRTO4	193	163	245	174
AKR7L	1	4	9	6
AKR7A3	4	8	8	4
AL035413.2	5	10	6	6
AKR7A2	240	261	327	240
RNU6-1099P	0	0	1	0
PQLC2	54	70	103	102
CAPZB	519	577	1022	620
RN7SL277P	2	1	0	1
RNU4-28P	0	0	0	0
AL031727.2	0	0	0	0
MINOS1	33	32	53	59
NBL1	2174	1860	3447	2004
MINOS1-NBL1	0	0	0	0
AL031727.1	1	3	6	3
HTR6	3	3	1	1
TMCO4	69	79	119	131
RNF186	0	0	0	0
AL391883.1	0	0	0	0
OTUD3	72	101	112	75
PLA2G2E	0	0	0	0
RN7SL304P	0	0	0	0
PLA2G2A	13	12	3	0
PLA2G5	1	0	6	9
PLA2G2D	0	0	0	0
PLA2G2F	1	0	0	0
Z98257.1	0	0	0	0
PLA2G2C	0	0	0	0
UBXN10-AS1	0	0	1	0
UBXN10	1	1	1	3
LINC01757	0	0	0	0
Z98257.2	0	0	0	0
VWA5B1	0	0	0	0
AL020998.1	0	0	0	0
LINC01141	1	0	0	1
AL139254.1	0	0	0	0
AL139254.2	0	0	0	0
AL139254.3	0	0	0	0
CAMK2N1	19	24	49	26
MUL1	153	128	275	243
RPS4XP4	0	0	0	0
FAM43B	9	17	20	6
CDA	7	11	19	3
PINK1	484	395	571	524
MIR6084	0	0	0	0
PINK1-AS	388	334	456	382
DDOST	2050	1722	3377	2902
KIF17	1	0	0	1
AL663074.2	0	0	0	0
SH2D5	0	0	3	2
AL663074.1	0	0	0	0
HP1BP3	425	505	796	550
EIF4G3	268	327	412	314
RNU7-200P	0	0	0	0
MIR1256	0	1	0	0
RPS15AP6	0	1	0	1
AL627311.1	2	1	0	3
HSPE1P27	0	2	4	3
ECE1	184	229	591	578
AL031005.1	0	2	1	2
AL031728.1	0	4	4	4
PPP1R11P1	0	0	0	0
AL592309.1	0	0	0	0
AL592309.2	0	0	0	0
NBPF2P	2	7	4	1
HS6ST1P1	0	0	0	0
CROCCP5	0	0	0	0
NBPF3	68	63	90	67
PFN1P10	1	1	2	2
ALPL	771	825	6	0
AL359815.1	0	0	0	0
RAP1GAP	10	9	3	1
USP48	222	217	268	218
AL590103.1	0	1	0	0
LDLRAD2	834	1527	627	530
HSPG2	6906	13640	5210	4459
AL590556.1	2	0	0	0
AL590556.2	0	0	0	0
CELA3B	0	0	0	0
RN7SL386P	0	0	0	0
RNU6-1022P	0	0	0	0
CELA3A	0	0	0	0
RN7SL186P	0	0	0	0
RNU6-776P	0	0	0	0
LINC01635	3	1	1	2
LINC00339	53	54	70	72
CDC42	1259	1004	1679	1160
CDC42-IT1	0	5	1	2
AL031281.1	0	2	3	1
AL031281.2	2	2	3	1
WNT4	86	65	21	22
MIR4418	0	0	0	0
PPIAP34	0	0	0	0
AL591122.1	0	0	0	0
ZBTB40	193	236	338	286
ZBTB40-IT1	0	1	0	0
EPHA8	0	0	0	0
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	81	87	354	284
MIR4684	0	0	0	0
AL512444.1	0	0	0	0
MIR4253	4	5	17	11
LACTBL1	0	0	0	0
TEX46	0	1	0	0
KDM1A	708	685	681	488
AL031428.1	1	1	3	1
MIR3115	0	0	0	0
MIR4419A	0	1	0	0
LUZP1	296	360	522	430
AL161672.1	2	0	2	3
RNU6-514P	0	0	0	0
RNU6-135P	0	0	0	0
HTR1D	1	1	0	0
AL109936.1	0	0	0	0
LINC01355	20	52	74	28
AL109936.6	2	15	9	6
HNRNPR	647	585	1069	924
ZNF436	135	108	256	176
ZNF436-AS1	27	16	33	39
AL109936.2	1	5	4	1
TCEA3	242	270	271	230
AL357134.1	0	1	0	0
ASAP3	302	337	682	695
E2F2	4	1	0	1
AL021154.1	1	0	0	1
ID3	1249	1112	1615	1260
MDS2	0	0	0	1
AL451000.1	0	0	0	0
RPL11	5490	4488	4063	3832
ELOA	282	291	349	220
ELOA-AS1	61	77	90	62
PITHD1	184	196	299	186
LYPLA2	173	135	200	138
GALE	146	151	96	83
HMGCL	169	167	237	187
FUCA1	73	74	101	166
CNR2	0	0	0	0
BTBD6P1	0	0	1	0
AL590609.3	0	0	0	0
MIR378F	0	0	0	0
AL590609.2	0	0	0	0
PNRC2	213	205	492	324
SRSF10	299	291	476	333
AL590609.1	0	0	0	0
AL591178.1	2	3	0	0
MYOM3	12	12	10	8
AL591178.2	0	0	0	0
IL22RA1	0	0	2	10
IFNLR1	0	2	2	3
AL590683.1	0	0	0	0
AL138902.1	0	0	0	0
GRHL3	3	5	4	2
STPG1	35	36	61	60
NIPAL3	325	364	409	358
RCAN3	32	38	54	37
AL445686.2	5	4	9	5
NCMAP	1	0	0	0
AL445686.1	0	0	0	0
SRRM1	108	152	192	127
AL445648.1	0	0	0	2
CLIC4	1673	1768	2505	1591
RNU6-1208P	0	0	0	0
RUNX3	144	184	123	70
MIR6731	0	0	0	0
AL445471.1	7	9	6	6
AL445471.2	6	2	1	2
MIR4425	0	0	0	0
AL050344.1	0	0	0	0
AL121994.1	0	0	0	0
AL031432.1	0	0	0	0
SYF2	181	185	280	248
AL031432.4	3	5	6	8
AL031432.5	0	1	2	2
RSRP1	303	306	453	374
AL031432.3	0	1	1	2
AL031432.2	2	3	2	0
RHD	0	5	2	2
SDHDP6	1	1	1	0
AL928711.1	0	0	0	0
TMEM50A	469	369	940	648
RHCE	22	19	15	7
AL031284.1	0	0	0	0
MACO1	191	180	210	155
LDLRAP1	183	160	206	134
AL606491.1	0	2	0	1
MAN1C1	4	10	28	27
AL031280.1	0	0	2	0
SELENON	175	207	268	226
AL020996.2	0	0	0	0
AL020996.1	40	33	59	38
MTFR1L	274	245	427	329
AL020996.3	0	0	0	0
AUNIP	7	5	8	4
AL033528.2	116	117	114	115
PAQR7	306	297	348	259
STMN1	50	36	88	47
SNRPFP2	0	0	0	0
AL033528.1	0	0	0	0
MIR3917	0	0	0	0
PAFAH2	85	83	102	78
RNU6-110P	0	0	0	0
RF00492	0	0	0	0
RF00283	0	0	0	0
EXTL1	219	184	116	53
SLC30A2	1	2	1	0
AL391650.2	0	0	0	0
TRIM63	0	0	3	3
PDIK1L	31	19	46	45
FAM110D	1	0	1	0
C1orf232	0	0	0	0
AL391650.1	116	84	101	99
ZNF593	108	98	130	89
CNKSR1	0	0	1	6
CATSPER4	0	0	0	0
AL355877.1	1	0	0	1
AL355877.3	0	0	0	0
CEP85	67	50	68	39
AL355877.2	0	0	0	0
SH3BGRL3	353	382	624	307
UBXN11	140	192	251	174
CD52	0	1	0	0
CRYBG2	0	0	0	0
AL451139.1	0	0	0	0
ZNF683	0	0	0	0
LIN28A	0	0	0	0
DHDDS	245	230	359	281
AL513365.1	4	2	2	1
AL513365.2	2	1	2	1
HMGN2	280	294	511	451
DPPA2P2	0	0	0	0
RPS6KA1	18	28	28	25
MIR1976	0	0	0	0
RN7SL679P	0	0	0	0
RNU7-29P	0	0	0	0
AL627313.1	0	0	0	0
RF01210	0	4	1	2
AL627082.1	0	0	0	0
AL512408.1	3	2	1	2
ARID1A	111	279	235	156
PIGV	69	52	135	107
RN7SL165P	0	0	0	0
ZDHHC18	80	76	115	80
SFN	2	3	0	0
AL034380.1	11	4	10	4
GPN2	206	201	258	211
GPATCH3	50	44	94	76
NUDC	323	264	446	343
NR0B2	0	1	0	0
KDF1	1	1	0	1
RPL12P13	0	1	0	0
AL356390.1	0	0	0	0
OSTCP2	0	0	0	0
TRNP1	40	43	65	58
FAM46B	7	5	33	46
SLC9A1	114	168	288	295
AL590640.2	0	0	0	0
CHCHD3P3	0	0	0	0
NPM1P39	2	2	2	2
SNRPEP7	0	0	0	0
AL590640.1	0	0	0	0
WDTC1	128	181	288	224
FO393419.3	0	0	0	0
TMEM222	138	134	276	282
RNU6-48P	0	0	1	0
ACTG1P20	2	2	6	1
SYTL1	9	6	9	10
MAP3K6	197	278	371	284
FCN3	0	0	0	0
CD164L2	0	0	1	0
FO393419.1	0	0	0	0
GPR3	1	1	2	3
WASF2	328	634	573	565
FO393419.2	0	0	0	0
BX293535.1	1	1	0	0
AHDC1	97	200	112	104
FGR	1	2	0	2
AL031729.1	0	0	0	0
LINC02574	0	0	6	6
IFI6	442	267	55525	62074
AL445490.1	0	0	37	42
RNU6-949P	0	0	0	0
CHMP1AP1	0	0	0	0
RNU6-424P	0	0	0	0
FAM76A	44	27	83	104
AL020997.1	1	0	1	3
RPEP3	0	0	0	0
STX12	256	279	577	448
AL020997.2	2	0	0	2
AL020997.3	0	0	1	1
RNU6-1245P	0	0	0	0
PPP1R8	279	260	410	325
SCARNA1	2	0	0	0
THEMIS2	131	137	608	582
RPA2	140	95	301	197
SMPDL3B	1	2	0	1
AL512288.1	6	5	12	10
XKR8	50	64	125	110
EYA3	106	119	241	218
AL512288.2	0	0	3	3
RN7SL559P	2	0	1	2
SPCS2P4	0	1	3	0
AL137792.2	0	0	0	0
AL137792.1	0	0	0	0
RNU6-176P	0	0	0	0
PTAFR	0	0	3	0
DNAJC8	391	310	673	575
ATP5IF1	445	372	394	311
AL353622.1	3	6	8	5
AL353622.2	0	0	0	0
SESN2	301	255	368	263
MED18	103	104	171	141
PHACTR4	48	90	189	170
CR391992.1	0	0	0	0
RNU6ATAC27P	0	0	1	0
RCC1	369	357	200	170
SNHG3	159	172	172	149
SNORA73A	0	0	0	0
SNORA73B	460	529	655	543
PRDX3P2	3	3	1	0
AL513497.1	4	4	4	2
TRNAU1AP	78	82	91	73
SNHG12	60	58	106	72
SNORD99	1	0	0	0
SNORA61	0	0	0	0
SNORA44	0	0	0	0
SNORA16A	0	0	0	0
TAF12	142	117	167	103
RAB42	11	14	25	31
LINC01715	5	1	4	4
AL360012.1	0	0	0	0
